Date,Value
6/2/1969,0.3725
6/3/1969,0.3725
6/4/1969,0.3725
6/5/1969,0.3725
6/6/1969,0.3725
6/9/1969,0.3725
6/10/1969,0.3725
6/11/1969,0.3725
6/12/1969,0.3725
6/13/1969,0.3725
6/16/1969,0.3725
6/17/1969,0.3725
6/18/1969,0.3725
6/19/1969,0.3725
6/20/1969,0.3725
6/23/1969,0.3725
6/24/1969,0.3725
6/25/1969,0.3725
6/26/1969,0.3725
6/27/1969,0.3725
6/30/1969,0.3725
7/1/1969,0.3725
7/2/1969,0.3725
7/3/1969,0.3725
7/7/1969,0.3725
7/8/1969,0.3725
7/9/1969,0.37
7/10/1969,0.37
7/11/1969,0.37
7/14/1969,0.37
7/15/1969,0.37
7/16/1969,0.37
7/17/1969,0.37
7/18/1969,0.37
7/22/1969,0.37
7/23/1969,0.3725
7/24/1969,0.3725
7/25/1969,0.3725
7/28/1969,0.3725
7/29/1969,0.3725
7/30/1969,0.3725
7/31/1969,0.3725
8/1/1969,0.3725
8/4/1969,0.375
8/5/1969,0.375
8/6/1969,0.375
8/7/1969,0.3775
8/8/1969,0.3775
8/11/1969,0.3775
8/12/1969,0.3775
8/13/1969,0.3775
8/14/1969,0.3775
8/15/1969,0.3775
8/18/1969,0.3775
8/19/1969,0.38
8/20/1969,0.38
8/21/1969,0.38
8/22/1969,0.38
8/25/1969,0.38
8/26/1969,0.39
8/27/1969,0.39
8/28/1969,0.39
8/29/1969,0.39
9/2/1969,0.395
9/3/1969,0.395
9/4/1969,0.4
9/5/1969,0.4025
9/8/1969,0.4025
9/9/1969,0.4025
9/10/1969,0.41
9/11/1969,0.41
9/12/1969,0.41
9/15/1969,0.415
9/16/1969,0.43
9/17/1969,0.43
9/18/1969,0.43
9/19/1969,0.43
9/22/1969,0.43
9/23/1969,0.435
9/24/1969,0.435
9/25/1969,0.435
9/26/1969,0.435
9/29/1969,0.44
9/30/1969,0.44
10/1/1969,0.44
10/2/1969,0.44
10/3/1969,0.44
10/6/1969,0.44
10/7/1969,0.44
10/8/1969,0.44
10/9/1969,0.44
10/10/1969,0.445
10/13/1969,0.445
10/14/1969,0.445
10/15/1969,0.455
10/16/1969,0.455
10/17/1969,0.4625
10/20/1969,0.4625
10/21/1969,0.475
10/22/1969,0.4775
10/23/1969,0.48
10/24/1969,0.48
10/27/1969,0.485
10/28/1969,0.485
10/29/1969,0.485
10/30/1969,0.485
10/31/1969,0.485
11/3/1969,0.485
11/4/1969,0.485
11/5/1969,0.485
11/6/1969,0.485
11/7/1969,0.485
11/10/1969,0.485
11/11/1969,0.485
11/12/1969,0.485
11/13/1969,0.485
11/14/1969,0.4837
11/17/1969,0.4825
11/18/1969,0.4825
11/19/1969,0.4825
11/20/1969,0.4825
11/21/1969,0.4825
