Date,Value
11/16/1972,128.4
11/17/1972,128.4
11/20/1972,128.4
11/21/1972,127
11/27/1972,127.1
11/28/1972,127.1
11/29/1972,127.1
11/30/1972,127.1
12/1/1972,128
12/4/1972,128
12/5/1972,128
12/6/1972,130
12/7/1972,130
12/8/1972,134
12/11/1972,138
12/12/1972,138
12/13/1972,138
12/14/1972,138
12/15/1972,138
12/18/1972,138.5
12/19/1972,138.5
12/20/1972,138.5
12/21/1972,137
12/22/1972,138.5
12/26/1972,137
12/27/1972,142
12/29/1972,144
1/2/1973,144
1/3/1973,145
1/4/1973,145
1/5/1973,145
1/8/1973,146
1/9/1973,147
1/10/1973,152
1/11/1973,147
1/12/1973,147
1/15/1973,142.5
1/16/1973,142
1/17/1973,144
1/18/1973,145
1/19/1973,146
1/22/1973,145
1/23/1973,145
1/24/1973,145
1/26/1973,147.3
1/29/1973,145
1/30/1973,143
1/31/1973,145
2/1/1973,146.2
2/2/1973,147.3
2/5/1973,151.5
2/6/1973,153
2/7/1973,152.3
2/8/1973,155
2/9/1973,158
2/12/1973,162
2/13/1973,157
2/14/1973,157
2/15/1973,158.7
2/16/1973,156.5
2/20/1973,158.5
2/21/1973,163.4
2/22/1973,163.1
2/23/1973,162
2/26/1973,160
2/27/1973,158
2/28/1973,158
3/1/1973,159.5
3/2/1973,158.9
3/5/1973,159.2
3/6/1973,159
3/7/1973,161
3/8/1973,166
3/9/1973,166
3/12/1973,171
3/13/1973,171.5
3/14/1973,167.9
3/15/1973,167.9
3/16/1973,170
3/19/1973,171.5
3/20/1973,169.2
3/21/1973,168
3/22/1973,168.5
3/23/1973,168.5
3/26/1973,163.5
3/27/1973,158.5
3/28/1973,162
3/29/1973,159
3/30/1973,162.8
4/2/1973,162.5
4/3/1973,161.5
4/4/1973,161.5
4/5/1973,157
4/6/1973,158.1
4/9/1973,159.75
4/10/1973,159.3
4/11/1973,157
4/12/1973,157
4/13/1973,157.5
4/16/1973,158.5
4/17/1973,162
4/18/1973,158.5
4/19/1973,158.5
4/23/1973,156.4
4/24/1973,156.5
4/25/1973,154.4
4/26/1973,154
4/27/1973,151.4
4/30/1973,151.8
5/1/1973,147.7
5/2/1973,144.5
5/3/1973,141
5/4/1973,138.5
5/7/1973,135
5/8/1973,136
5/9/1973,140
5/10/1973,135
5/11/1973,130
5/14/1973,130.5
5/15/1973,125.5
5/16/1973,120.5
5/17/1973,116.5
5/18/1973,121.5
5/21/1973,126.5
5/22/1973,131.5
5/23/1973,133.3
5/24/1973,138.3
5/25/1973,143.3
5/29/1973,140
5/30/1973,139
5/31/1973,137
6/1/1973,137.5
6/4/1973,132.5
6/5/1973,127.6
6/6/1973,123.8
6/7/1973,126.3
6/8/1973,123.5
6/11/1973,126.9
6/12/1973,131.7
6/13/1973,129.2
6/14/1973,129.2
6/15/1973,126.7
6/18/1973,130.8
6/19/1973,128.3
6/20/1973,125.1
6/21/1973,126.5
6/22/1973,126.3
6/25/1973,126.4
6/26/1973,126.2
6/27/1973,124.2
6/28/1973,125.5
6/29/1973,125.2
7/2/1973,120.4
7/3/1973,119.5
7/5/1973,121.8
7/6/1973,125.6
7/9/1973,123.4
7/10/1973,123
7/11/1973,128
7/12/1973,131.5
7/13/1973,129.9
7/16/1973,134.9
7/17/1973,136
7/18/1973,139.4
7/19/1973,144.4
7/20/1973,139.4
7/23/1973,144.4
7/24/1973,141.5
7/25/1973,142.9
7/26/1973,146
7/27/1973,147.3
7/30/1973,145.2
7/31/1973,142.2
8/1/1973,141.3
8/2/1973,145.2
8/3/1973,147.9
8/6/1973,150.4
8/7/1973,151.1
8/8/1973,152
8/9/1973,152.4
8/10/1973,154.6
8/13/1973,155
8/14/1973,150
8/15/1973,147.3
8/16/1973,152.3
8/17/1973,154.3
8/20/1973,153.3
8/21/1973,152.2
8/22/1973,154
8/23/1973,159
8/24/1973,161
8/27/1973,156.1
8/28/1973,152.58
8/29/1973,150.34
8/30/1973,145.26
8/31/1973,141
9/4/1973,135.9
9/5/1973,140.9
9/6/1973,141.7
9/7/1973,137.3
9/10/1973,135.6
9/11/1973,137.1
9/12/1973,133.9
9/13/1973,133.8
9/14/1973,136.2
9/17/1973,138.7
9/18/1973,134.2
9/19/1973,130.7
9/20/1973,132.1
9/21/1973,127.4
9/24/1973,124.5
9/25/1973,126.5
9/26/1973,127.2
