Date,sugar
11/29/1962,0.0389
11/30/1962,0.0384
12/3/1962,0.0387
12/4/1962,0.038
12/5/1962,0.0375
12/6/1962,0.0382
12/7/1962,0.0375
12/10/1962,0.0378
12/11/1962,0.038
12/12/1962,0.0384
12/13/1962,0.0385
12/14/1962,0.0386
12/17/1962,0.0382
12/18/1962,0.0385
12/19/1962,0.039
12/20/1962,0.0395
12/21/1962,0.0397
12/26/1962,0.0402
12/27/1962,0.0414
12/28/1962,0.0415
1/2/1963,0.0425
1/3/1963,0.0434
1/4/1963,0.0435
1/7/1963,0.0449
1/8/1963,0.0465
1/9/1963,0.0467
1/10/1963,0.045
1/11/1963,0.0445
1/14/1963,0.0465
1/15/1963,0.0472
1/16/1963,0.0469
1/17/1963,0.0457
1/18/1963,0.047
1/21/1963,0.0479
1/22/1963,0.0471
1/23/1963,0.0464
1/24/1963,0.0484
1/25/1963,0.0478
1/28/1963,0.0445
1/29/1963,0.0445
1/30/1963,0.0466
1/31/1963,0.0478
2/1/1963,0.0482
2/4/1963,0.0485
2/5/1963,0.0489
2/6/1963,0.0491
2/7/1963,0.0493
2/8/1963,0.0482
2/11/1963,0.0472
2/13/1963,0.0485
2/14/1963,0.0492
2/15/1963,0.0498
2/18/1963,0.0493
2/19/1963,0.0492
2/20/1963,0.0487
2/21/1963,0.0492
2/25/1963,0.0533
2/26/1963,0.0549
2/27/1963,0.0567
2/28/1963,0.0558
3/1/1963,0.0584
3/4/1963,0.0576
3/5/1963,0.0569
3/6/1963,0.057
3/7/1963,0.0586
3/8/1963,0.0583
3/11/1963,0.0579
3/12/1963,0.0578
3/13/1963,0.0586
3/14/1963,0.06
3/15/1963,0.0599
3/18/1963,0.061
3/19/1963,0.0627
3/20/1963,0.0673
3/21/1963,0.0683
3/22/1963,0.0694
3/25/1963,0.072
3/26/1963,0.068
3/27/1963,0.0653
3/28/1963,0.0627
3/29/1963,0.0577
4/1/1963,0.0605
4/2/1963,0.0646
4/3/1963,0.0612
4/4/1963,0.0623
4/5/1963,0.065
4/8/1963,0.067
4/9/1963,0.0658
4/10/1963,0.065
4/11/1963,0.0677
4/15/1963,0.0689
4/16/1963,0.0675
4/17/1963,0.0681
4/18/1963,0.0672
4/19/1963,0.0702
4/22/1963,0.0699
4/23/1963,0.0708
4/24/1963,0.0705
4/25/1963,0.0715
4/26/1963,0.073
4/29/1963,0.078
4/30/1963,0.0768
5/1/1963,0.0766
5/2/1963,0.0762
5/3/1963,0.0754
5/6/1963,0.0759
5/7/1963,0.0802
5/8/1963,0.0811
5/9/1963,0.085
5/10/1963,0.0882
5/13/1963,0.0932
5/14/1963,0.0922
5/15/1963,0.0972
5/16/1963,0.1022
5/17/1963,0.1033
5/20/1963,0.1083
5/21/1963,0.1133
5/22/1963,0.1183
5/23/1963,0.1183
5/24/1963,0.1133
5/27/1963,0.1083
5/28/1963,0.1033
5/29/1963,0.0983
5/31/1963,0.0955
6/3/1963,0.0905
6/4/1963,0.0855
6/5/1963,0.0805
6/6/1963,0.0805
6/7/1963,0.0805
6/10/1963,0.0855
6/11/1963,0.0845
6/12/1963,0.0795
6/13/1963,0.0745
6/14/1963,0.0695
6/17/1963,0.0693
6/18/1963,0.0743
6/19/1963,0.0771
6/20/1963,0.075
6/21/1963,0.0765
6/24/1963,0.0722
6/25/1963,0.0675
6/26/1963,0.0675
6/27/1963,0.0725
6/28/1963,0.0757
7/1/1963,0.0755
7/2/1963,0.0799
7/3/1963,0.077
7/8/1963,0.0796
7/9/1963,0.0778
7/10/1963,0.0743
7/11/1963,0.0693
7/12/1963,0.0679
7/15/1963,0.063
7/16/1963,0.068
7/17/1963,0.0655
7/18/1963,0.0679
7/19/1963,0.0699
7/22/1963,0.0675
7/23/1963,0.07
7/24/1963,0.0683
7/25/1963,0.0687
7/26/1963,0.0658
7/29/1963,0.0609
7/30/1963,0.0605
7/31/1963,0.059
8/1/1963,0.0609
8/2/1963,0.062
8/5/1963,0.0593
8/6/1963,0.0617
8/7/1963,0.0635
8/8/1963,0.0623
8/9/1963,0.0614
8/12/1963,0.0568
8/13/1963,0.0568
8/14/1963,0.0552
8/15/1963,0.056
8/16/1963,0.0544
8/19/1963,0.052
8/20/1963,0.0494
8/21/1963,0.0512
8/22/1963,0.0507
8/23/1963,0.053
8/26/1963,0.0545
8/27/1963,0.0578
8/28/1963,0.0597
8/29/1963,0.0601
8/30/1963,0.0611
9/3/1963,0.0634
9/4/1963,0.0664
9/5/1963,0.0644
9/6/1963,0.0653
9/9/1963,0.069
9/10/1963,0.0703
9/11/1963,0.0687
9/12/1963,0.0718
9/13/1963,0.075
9/16/1963,0.0765
9/17/1963,0.0758
9/18/1963,0.0786
9/19/1963,0.08
9/20/1963,0.0805
9/23/1963,0.0797
9/24/1963,0.0793
9/25/1963,0.0762
9/26/1963,0.0763
9/27/1963,0.0762
9/30/1963,0.0812
10/1/1963,0.0852
10/2/1963,0.0862
10/3/1963,0.0912
10/4/1963,0.0861
10/7/1963,0.0905
10/8/1963,0.0911
10/9/1963,0.0938
10/10/1963,0.0947
10/11/1963,0.0954
10/14/1963,0.1
10/15/1963,0.1049
10/16/1963,0.1081
10/17/1963,0.1084
10/18/1963,0.1134
10/21/1963,0.1165
10/22/1963,0.1115
10/23/1963,0.1165
10/24/1963,0.113
10/25/1963,0.113
10/28/1963,0.108
10/29/1963,0.113
10/30/1963,0.1142
10/31/1963,0.1146
11/1/1963,0.1142
11/4/1963,0.1129
11/6/1963,0.1079
11/7/1963,0.1029
11/8/1963,0.1062
11/12/1963,0.1071
11/13/1963,0.1023
11/14/1963,0.1045
11/15/1963,0.1014
11/18/1963,0.0966
11/19/1963,0.0978
11/20/1963,0.0942
11/21/1963,0.0931
11/22/1963,0.089
11/26/1963,0.0939
11/27/1963,0.099
11/29/1963,0.1034
12/2/1963,0.1027
12/3/1963,0.1026
12/4/1963,0.0995
12/5/1963,0.0947
12/6/1963,0.0897
12/9/1963,0.095
12/10/1963,0.1
12/11/1963,0.0977
12/12/1963,0.0974
12/13/1963,0.095
12/16/1963,0.1001
12/17/1963,0.1035
12/18/1963,0.1002
12/19/1963,0.0966
12/20/1963,0.0966
12/23/1963,0.0961
12/24/1963,0.0979
12/26/1963,0.101
12/27/1963,0.1023
12/30/1963,0.1021
12/31/1963,0.1037
1/2/1964,0.1004
1/3/1964,0.0993
1/6/1964,0.1009
1/7/1964,0.1008
1/8/1964,0.1021
1/9/1964,0.106
1/10/1964,0.11
1/13/1964,0.1085
1/14/1964,0.1068
1/15/1964,0.1078
1/16/1964,0.1094
1/17/1964,0.1093
1/20/1964,0.1065
1/21/1964,0.1052
1/22/1964,0.1047
1/23/1964,0.1031
1/24/1964,0.1041
1/27/1964,0.1056
1/28/1964,0.1035
1/29/1964,0.1038
1/30/1964,0.0989
1/31/1964,0.0939
2/3/1964,0.0935
2/4/1964,0.089
2/5/1964,0.087
