Date,Value
7/1/1959,1.964
7/2/1959,1.971
7/6/1959,1.97
7/7/1959,1.971
7/8/1959,1.964
7/9/1959,1.955
7/10/1959,1.956
7/13/1959,1.961
7/14/1959,1.955
7/15/1959,1.953
7/16/1959,1.951
7/17/1959,1.944
7/20/1959,1.954
7/21/1959,1.947
7/22/1959,1.945
7/23/1959,1.942
7/24/1959,1.944
7/27/1959,1.953
7/28/1959,1.945
7/29/1959,1.945
7/30/1959,1.95
7/31/1959,1.962
8/3/1959,1.956
8/4/1959,1.967
8/5/1959,1.956
8/6/1959,1.953
8/7/1959,1.953
8/10/1959,1.955
8/11/1959,1.96
8/12/1959,1.954
8/13/1959,1.951
8/14/1959,1.954
8/17/1959,1.955
8/18/1959,1.952
8/19/1959,1.955
8/20/1959,1.953
8/21/1959,1.953
8/24/1959,1.971
8/25/1959,1.967
8/26/1959,1.97
8/27/1959,1.964
8/28/1959,1.964
8/31/1959,1.972
9/1/1959,1.977
9/2/1959,1.983
9/3/1959,1.982
9/4/1959,1.981
9/8/1959,1.975
9/9/1959,1.967
9/10/1959,1.966
9/11/1959,1.966
9/14/1959,1.966
9/15/1959,1.967
9/16/1959,1.957
9/17/1959,1.957
9/18/1959,1.961
9/21/1959,1.96
9/22/1959,1.942
9/23/1959,1.953
9/24/1959,1.953
9/25/1959,1.946
9/28/1959,1.946
9/29/1959,1.952
9/30/1959,1.964
10/1/1959,1.96
10/2/1959,1.963
10/5/1959,1.957
10/6/1959,1.966
10/7/1959,1.97
10/8/1959,1.97
10/9/1959,1.966
10/12/1959,1.974
10/13/1959,1.973
10/14/1959,1.967
10/15/1959,1.965
10/16/1959,1.976
10/19/1959,1.975
10/20/1959,1.981
10/21/1959,2
10/22/1959,2.003
10/23/1959,2.007
10/26/1959,2.003
10/27/1959,2.003
10/28/1959,2.011
10/29/1959,1.996
10/30/1959,2.003
11/2/1959,2.005
11/3/1959,2.004
11/4/1959,2
11/5/1959,1.996
11/6/1959,1.997
11/9/1959,2.01
11/10/1959,2.02
11/11/1959,2.014
11/12/1959,2.015
11/13/1959,2.026
11/16/1959,2.02
11/17/1959,2.01
11/18/1959,2.005
11/19/1959,1.994
11/20/1959,1.983
11/23/1959,1.977
11/24/1959,1.995
11/25/1959,2.0084
11/27/1959,2.0124
11/30/1959,2.022
12/1/1959,2.032
12/2/1959,2.036
12/3/1959,2.031
12/4/1959,2.03
12/7/1959,2.026
12/8/1959,2.017
12/9/1959,2.016
12/10/1959,2.016
12/11/1959,2.012
12/14/1959,2.016
12/15/1959,2.024
12/16/1959,2.023
12/17/1959,2.006
12/18/1959,2.012
12/21/1959,2.014
12/22/1959,2.013
12/23/1959,2.025
12/24/1959,2.031
12/28/1959,2.033
12/29/1959,2.036
12/30/1959,2.041
