,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
1963-07-31,-0.008298,-0.004149,0.001298,-0.0030080000000000003,-0.010766,-0.013293,-0.0031119999999999997,-0.001917,-0.022229000000000002,-0.019805,-0.002173,-0.021776,-0.029485,-0.028157,-0.015325,-0.001562,-0.015892,-0.025190999999999998,-0.020652,-0.015512999999999999,0.014544999999999999,0.0036959999999999996,-0.010967,-0.004737,0.008989
1963-08-31,0.019,0.042716000000000004,0.028531,0.018913,0.036061,0.011406000000000001,0.037232,0.024697,0.05386199999999999,0.100258,0.027265,0.049982,0.046192000000000004,0.048096,0.075224,0.034312999999999996,0.045365,0.052725999999999995,0.067964,0.09478400000000001,0.038276,0.049488000000000004,0.061287,0.064878,0.117921
1963-09-30,-0.00772,-0.015739,-0.004255999999999999,-0.010386,-0.033319999999999995,-0.009368999999999999,-0.023022,-0.034147,-0.005693,-0.034766,-0.010824,-0.006479,-0.020482,-0.012792,-0.032820999999999996,-0.018068999999999998,-0.018778,-0.007033,-0.043550000000000005,-0.044604,-0.030615,-0.0073609999999999995,-0.005809999999999999,-0.001931,-0.011519
1963-10-31,-0.0036919999999999995,0.009966000000000001,0.017423,0.04228,0.021766999999999998,0.027799,0.027846000000000003,0.01159,0.036146,0.043655,0.0137,0.01893,0.010906,0.051561,0.013167,0.004628,0.0035970000000000004,0.008853999999999999,0.016408,0.040759,0.007047,0.038488,0.024912999999999998,0.068115,0.05496
1963-11-30,0.008252,-0.023312,-0.012441,-0.009597,-0.018638,0.011942,0.003169,-0.012051000000000001,-0.008631,-0.011548000000000001,-0.017055,-0.007385,-0.02459,-0.017648,-0.004079,0.011335999999999999,-0.010605999999999999,-0.005911,-0.000649,0.004209,-0.008662,-0.007863,0.002827,-0.00916,0.008859
1963-12-31,-0.017176,-0.008928,0.021374,-0.025964,-0.00048800000000000004,-0.0012720000000000001,-0.003338,0.014651,0.003027,0.0032740000000000004,-0.000508,0.009559999999999999,0.010316,0.016186,0.00805,-0.002732,0.022494999999999998,0.022992,0.030669,0.017816000000000002,0.032894,0.020905,0.028623,0.022759,0.019642
1964-01-31,0.031651,0.039801,0.039288,0.04271899999999999,0.036784,0.014779,0.024032,0.026569,0.029903,0.018885,0.009701999999999999,0.026448999999999997,0.018508,0.027227,0.029896,0.017739,0.003685,0.021044,0.009944,0.010973,0.031575,0.027704,0.027463,0.040625,-0.000517
1964-02-29,0.011124,0.037286,0.016385,0.031057,0.034278,0.031664,0.034388,0.045055,0.028664000000000002,0.047235,0.026892,0.023096000000000002,0.027715,0.024437,0.031204,0.034849,0.028044,0.012943,0.030618,0.054523,0.009033,0.009021,0.024952000000000002,0.028593999999999998,0.014184
1964-03-31,0.034339,0.028875,0.041680999999999996,0.048642000000000005,0.024502000000000003,0.025036999999999997,0.034256,0.035581,0.032115,0.07368000000000001,0.005076000000000001,0.05051,0.034287,0.07145,0.038287,0.017195000000000002,0.02705,0.031831,0.037617,0.056478,0.008134,0.004263,0.017636,0.025932,0.069969
1964-04-30,0.014488000000000001,0.0027960000000000003,-0.001368,-0.014567000000000002,-0.01502,0.008171000000000001,0.00745,0.010683,0.028706,-0.033633,0.012801,-0.0008649999999999999,-0.0044740000000000005,-0.031194000000000003,-0.025423,-0.0017829999999999999,-0.009034,-0.008348,-0.008918,-0.009109,0.028188,0.019733,-0.0059819999999999995,-0.029778,-0.031333
1964-05-31,0.008686000000000001,0.002661,0.008583,0.013801,-0.01691,0.035923,0.031244,0.018548,0.00827,0.034697,0.006254999999999999,0.015222,0.009664,0.005091,0.025736,0.012062999999999999,0.014424,0.020443,0.029434000000000002,0.005075,0.017503,0.013418000000000001,0.015635,0.020901,0.041967
1964-06-30,0.012958,0.014018999999999998,0.032321,0.003216,0.007014,0.025141,0.01229,0.012759,-0.012407,0.044428,0.024620000000000003,0.015778,0.027463,0.021523,0.025326,0.016701999999999998,0.028592,0.014206000000000002,0.011369,0.011062,0.017247,0.024207,0.005536,0.01127,0.015002
1964-07-31,0.030855,0.015962,0.042967000000000005,0.038233,0.031726000000000004,0.04378,0.03142,0.020156999999999998,0.040997000000000006,0.008819,0.022794,0.029165,0.025875,0.021315,0.026831,0.035888,0.024575999999999997,0.023372999999999998,0.020831,-0.004007,0.013026,0.035967,0.020819999999999998,-0.0014149999999999998,0.011406000000000001
1964-08-31,0.006328,-0.009106,-0.017869,-0.01146,-0.013707,-0.001877,0.000749,-0.008919,-0.011544,-0.025389,-0.004214,-0.011583000000000001,-0.002473,0.005198,-0.023073999999999997,0.012284999999999999,-0.0036170000000000004,0.0026910000000000002,-0.008281,-0.023136,-0.011669,-0.005277,-0.016793,-0.027049,-0.016837
1964-09-30,0.037326,0.018473,0.043494000000000005,0.04828,0.062961,0.023011,0.031317,0.025988999999999998,0.027219000000000004,0.041349,0.030289,0.02834,0.036481,0.0231,0.030024000000000002,0.036752,0.034713,0.025036,0.057831,0.047331000000000005,0.012771999999999999,0.032972,0.037553,0.025709,0.069685
1964-10-31,0.015918,0.022059000000000002,0.037641,0.017542,0.030298,0.014922,0.011139,0.022473,0.018463,-0.00226,0.023707,0.021498,0.015125,0.007787,0.039039000000000004,0.023031000000000003,0.020766,0.015756,0.004622,0.009499,0.0052380000000000005,0.015341,0.010724000000000001,-0.016963,-0.012495000000000001
1964-11-30,0.008383,-0.002717,0.01421,0.010391,-0.012154,-0.010355000000000001,0.0028079999999999997,-0.000378,-0.009127999999999999,-0.016547,0.017782,-0.002313,0.008759,0.002387,-0.005158,0.010132,0.00135,-0.0024,-0.012099,-0.004469,0.004908,0.002203,0.017392,-0.011047,-0.048883
1964-12-31,-0.021709,-0.010257,-0.009594,-0.02484,-0.026362,0.001656,-0.006545,-0.011636,0.0038069999999999996,-0.005481000000000001,0.007993,-0.014159999999999999,-0.006542,-0.012524,-0.00121,-0.006952000000000001,-0.007633999999999999,0.00213,0.002107,-0.00025100000000000003,0.017386,0.002634,0.001196,-0.0027189999999999996,-0.009735
1965-01-31,0.064894,0.045992,0.06625,0.085619,0.087419,0.054231,0.0342,0.057457,0.07606399999999999,0.073184,0.052457000000000004,0.051472,0.057481,0.06298,0.06201399999999999,0.036197,0.052673,0.058574,0.050024,0.064353,0.008324,0.035996,0.043554,0.06475399999999999,0.056046
