,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1926-07-31,0.010866,0.008807,-0.001275,0.055746000000000004,0.01906,0.020068000000000003
1926-08-31,0.007831,0.014677,0.054422,0.027268,0.027028,0.056833999999999996
1926-09-30,-0.028045,-0.000599,-0.004399,0.014777,0.000954,-0.007872
1926-10-31,-0.040289,-0.043615,-0.020128,-0.036327,-0.023451,-0.04003999999999999
1926-11-30,0.032971,0.036237,0.020877,0.03212,0.029346,0.031964
1926-12-31,0.025644999999999998,0.017773,0.0327,0.029011,0.02621,0.023073
1927-01-31,-0.008099,-0.002885,0.039875,-0.002624,0.00034,0.04092
1927-02-28,0.039809000000000004,0.063754,0.064416,0.05021200000000001,0.035906,0.079905
1927-03-31,-0.022271,-0.010076,-0.031143999999999998,0.012856000000000001,0.002556,-0.025905
1927-04-30,-0.013838999999999999,0.008706,0.034837,0.030757,-0.007711,-0.004894
1927-05-31,0.054624,0.033109,0.134556,0.054126,0.051422999999999996,0.070141
1927-06-30,-0.017162999999999998,0.013233,-0.04089,-0.009667,-0.030032999999999997,-0.020282
1927-07-31,0.042603999999999996,0.052595,0.040180999999999994,0.09271499999999999,0.068071,0.072634
1927-08-31,0.024876,-0.023003,0.007332,0.04005499999999999,0.011524000000000001,-0.019351
1927-09-30,0.022005,0.022366999999999998,0.0037140000000000003,0.052451,0.044202000000000005,0.059339
1927-10-31,-0.002054,-0.021686,-0.060934999999999996,-0.035692,-0.043578,-0.06628300000000001
1927-11-30,0.10282400000000001,0.079528,0.104641,0.069718,0.067451,0.066385
1927-12-31,0.056729,0.02665,0.024533999999999997,0.025009999999999998,0.018708,0.034734
1928-01-31,0.031432,0.026831999999999998,0.036043,-0.0044069999999999995,-0.004021,-0.023184
1928-02-29,-0.048779,-0.017699,-0.041262999999999994,-0.006750000000000001,-0.012169000000000001,-0.027041
1928-03-31,0.069742,0.086296,0.09443099999999999,0.12362999999999999,0.061449,0.076792
1928-04-30,0.050263999999999996,0.107789,0.099758,0.029356,0.059428,0.044954
1928-05-31,0.066955,0.019725,0.026118000000000002,0.025703999999999998,-0.000445,0.0064990000000000004
1928-06-30,-0.091736,-0.085169,-0.06799000000000001,-0.036356,-0.041275000000000006,-0.054462
1928-07-31,-0.004122,-0.003806,-0.009736,0.013622,0.001242,0.008343
1928-08-31,0.061265,0.050112,0.037666,0.08759399999999999,0.054024,0.06862700000000001
1928-09-30,0.057391,0.044691,0.061849,0.030057,0.019523,0.042356
1928-10-31,0.06843300000000001,0.031403,0.016662999999999997,0.013103,0.013999999999999999,0.022058
1928-11-30,0.08669299999999999,0.11145899999999999,0.121856,0.111696,0.133449,0.129533
1928-12-31,0.006750000000000001,-0.007061,-0.005797,0.009715,0.00025,0.011951
1929-01-31,0.002541,0.019011,0.017793,0.065315,0.048674999999999996,0.025744
1929-02-28,0.007411999999999999,0.011291,0.003953,-0.005723000000000001,0.007548,0.030872999999999998
1929-03-31,-0.062168,-0.033714,-0.043437,-0.013904000000000001,0.023222999999999997,-0.001211
1929-04-30,-0.006478,0.027887,0.007306,0.023256000000000002,0.010882000000000001,0.028092000000000002
1929-05-31,-0.102271,-0.094383,-0.128944,-0.058502,-0.041635,-0.062167
1929-06-30,0.06898900000000001,0.09538600000000001,0.06456,0.124699,0.093942,0.074366
1929-07-31,-0.000599,-0.0050539999999999995,0.038676,0.036533,0.061852,0.050609
1929-08-31,-0.011158999999999999,-0.0069759999999999996,-0.0048070000000000005,0.072212,0.125055,0.07216700000000001
1929-09-30,-0.039326,-0.042674000000000004,-0.036070000000000005,-0.044757,-0.049772,-0.063774
1929-10-31,-0.22997900000000002,-0.19647099999999998,-0.21221800000000002,-0.238688,-0.145837,-0.105728
1929-11-30,-0.146084,-0.09579700000000001,-0.10966100000000001,-0.142521,-0.104563,-0.077931
1929-12-31,-0.027372,-0.031726000000000004,-0.011822,0.032379,0.005554,0.014058
1930-01-31,0.060309,0.095193,0.084726,0.073577,0.033456,0.028546000000000002
1930-02-28,0.017589,0.010717,0.045687,0.034688,0.018817,0.012148
1930-03-31,0.086803,0.11331200000000001,0.10687300000000001,0.067576,0.084208,0.053549
1930-04-30,-0.07096,-0.012542,-0.034819,-0.02338,-0.01762,-0.066843
1930-05-31,-0.03614,-0.026937000000000003,-0.029869,0.007015,-0.022797,-0.014025000000000001
1930-06-30,-0.179836,-0.164522,-0.190393,-0.176952,-0.131636,-0.11840099999999999
1930-07-31,0.065234,0.036400999999999996,0.025703,0.047126,0.035511,0.052714
1930-08-31,-0.037811,-0.016347,-0.02321,0.010212,-0.006697,-0.016172
1930-09-30,-0.13787000000000002,-0.147431,-0.195014,-0.126858,-0.109676,-0.17158400000000001
1930-10-31,-0.10483700000000001,-0.077113,-0.104086,-0.09232699999999999,-0.072966,-0.114885
1930-11-30,0.006914,-0.02831,-0.025025,-0.021625000000000002,-0.032636,-0.06596099999999999
1930-12-31,-0.108555,-0.10967700000000001,-0.17843499999999998,-0.06082,-0.09107699999999999,-0.10479100000000001
1931-01-31,0.098496,0.114123,0.16164,0.045259,0.077855,0.146935
