,SMALL LoEP,ME1 EP2,SMALL HiEP,BIG LoEP,ME2 EP2,BIG HiEP
1951-07-31,0.048600000000000004,0.0599,0.0592,0.0642,0.0862,0.0603
1951-08-31,0.055099999999999996,0.06,0.050499999999999996,0.038900000000000004,0.0574,0.0672
1951-09-30,0.0098,0.0146,0.013600000000000001,-0.0021,-0.0021,0.0168
1951-10-31,-0.026099999999999998,-0.0062,-0.018799999999999997,-0.0417,-0.0113,-0.023
1951-11-30,0.011000000000000001,0.0166,0.0108,0.0025,0.0069,0.0131
1951-12-31,0.017,0.0206,0.0134,0.0404,0.0496,0.0258
1952-01-31,0.0124,0.0087,0.0078000000000000005,0.005699999999999999,0.0263,0.0016
1952-02-29,-0.047599999999999996,-0.0217,-0.0049,-0.0298,-0.039900000000000005,-0.0151
1952-03-31,0.0053,0.0137,0.023700000000000002,0.0305,0.0588,0.0722
1952-04-30,-0.0495,-0.0481,-0.049800000000000004,-0.0443,-0.067,-0.046799999999999994
1952-05-31,0.011000000000000001,0.0323,0.0218,0.0339,0.0375,0.0331
1952-06-30,0.0259,0.0331,0.0264,0.0364,0.0489,0.059500000000000004
1952-07-31,0.006999999999999999,0.0042,0.013500000000000002,0.006999999999999999,0.013500000000000002,0.02
1952-08-31,0.0054,-0.0002,0.0015,0.0001,-0.0102,-0.0125
1952-09-30,-0.0166,-0.005600000000000001,-0.0101,-0.011899999999999999,-0.023700000000000002,-0.024399999999999998
1952-10-31,-0.0192,-0.0235,-0.012199999999999999,-0.0076,0.002,-0.0032
1952-11-30,0.0556,0.0553,0.063,0.0729,0.0493,0.08779999999999999
1952-12-31,0.0297,0.0161,0.0204,0.0183,0.0416,0.028300000000000002
1953-01-31,0.026000000000000002,0.0286,0.044000000000000004,-0.001,-0.0118,0.0053
1953-02-28,0.0233,0.0086,0.021,-0.005600000000000001,0.0006,-0.0079
1953-03-31,-0.0089,-0.0235,-0.0083,0.0004,-0.0227,-0.0296
1953-04-30,-0.023799999999999998,-0.0172,-0.0033,-0.0231,-0.0297,-0.0189
1953-05-31,0.0023,0.016200000000000003,0.0097,0.0086,0.0075,-0.0027
1953-06-30,-0.0254,-0.0388,-0.0414,-0.0147,-0.0121,-0.0252
1953-07-31,0.0006,0.0173,0.0203,0.0253,0.0339,0.015600000000000001
1953-08-31,-0.045700000000000005,-0.0375,-0.0554,-0.023799999999999998,-0.049699999999999994,-0.0731
1953-09-30,-0.0226,-0.0124,0.0013,0.0166,0.001,-0.0055000000000000005
1953-10-31,0.0248,0.0333,0.0467,0.037599999999999995,0.057800000000000004,0.0723
1953-11-30,0.0226,0.0191,0.0095,0.0378,0.0248,0.0262
1953-12-31,-0.0053,-0.0126,-0.011000000000000001,0.0058,0.0060999999999999995,0.0067
1954-01-31,0.0762,0.0604,0.0599,0.030299999999999997,0.0647,0.08
1954-02-28,0.0095,0.018000000000000002,0.0148,0.013000000000000001,0.0233,0.018600000000000002
1954-03-31,0.0296,0.009300000000000001,0.0297,0.0382,0.0412,0.0548
1954-04-30,0.0379,-0.0015,0.0241,0.043899999999999995,0.053099999999999994,0.059000000000000004
1954-05-31,0.0255,0.039,0.056600000000000004,0.0223,0.030899999999999997,0.048
1954-06-30,-0.0038,0.030299999999999997,0.0235,0.028999999999999998,-0.0018,0.0052
1954-07-31,0.0673,0.0525,0.0897,0.03,0.0621,0.0803
1954-08-31,-0.0194,-0.0072,-0.0076,-0.0281,-0.020099999999999996,-0.0337
1954-09-30,0.0556,0.045700000000000005,0.0462,0.0464,0.0943,0.08689999999999999
1954-10-31,0.0068000000000000005,-0.0183,-0.0021,-0.027000000000000003,-0.0149,0.0013
1954-11-30,0.0906,0.0877,0.11019999999999999,0.0968,0.0802,0.1291
1954-12-31,0.1411,0.0667,0.11689999999999999,0.0285,0.0529,0.1033
1955-01-31,0.0245,0.0151,0.015600000000000001,-0.002,0.012,0.020499999999999997
1955-02-28,0.0538,0.0371,0.0696,0.0391,0.0158,0.0355
1955-03-31,-0.0017000000000000001,0.0018,0.0016,-0.0024,-0.0039000000000000003,0.0053
1955-04-30,-0.01,0.0276,0.009300000000000001,0.0437,0.03,0.024900000000000002
1955-05-31,-0.008100000000000001,0.0031,0.0024,0.023399999999999997,0.004699999999999999,0.0016
1955-06-30,0.0175,0.0141,0.054000000000000006,0.0548,0.0789,0.1223
1955-07-31,0.0288,0.0089,0.011200000000000002,-0.0021,0.0291,0.08449999999999999
1955-08-31,0.0151,-0.0034999999999999996,0.0101,0.011399999999999999,-0.0002,-0.008100000000000001
