,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1926-07-31,0.0236,0.0009,-0.9998999999999999,-0.0519,0.0129,0.08650000000000001,0.024900000000000002,0.5021,-0.0049,0.0808,-0.9998999999999999,0.0533,0.009000000000000001,0.0816,-0.9998999999999999,0.005,0.0248,-0.0821,0.0406,-0.9998999999999999,0.054400000000000004,0.0318,0.1456,-0.006500000000000001,0.0113,-0.9998999999999999,-0.9998999999999999,0.0564,0.0148,-0.013500000000000002,0.0704,0.0083,-0.9998999999999999,0.0591,0.0363,-0.9998999999999999,0.013300000000000001,0.013500000000000002,-0.9998999999999999,0.077,0.019299999999999998,-0.2379,0.0008,0.018799999999999997,0.0461,-0.0054,0.028999999999999998,-0.057699999999999994,0.052000000000000005
1926-08-31,0.0223,0.0271,-0.9998999999999999,0.2703,0.0652,0.1681,-0.0076,0.42979999999999996,-0.0358,-0.025,-0.9998999999999999,0.0384,0.042699999999999995,0.0547,-0.9998999999999999,0.0783,0.0461,0.0737,0.0218,-0.9998999999999999,0.0207,0.021,0.0425,-0.0659,0.0172,-0.9998999999999999,-0.9998999999999999,0.0055000000000000005,0.009399999999999999,0.0364,-0.017,0.0217,-0.9998999999999999,0.0151,0.0369,-0.9998999999999999,-0.047,0.0689,-0.9998999999999999,-0.023700000000000002,0.048499999999999995,0.053899999999999997,-0.0076,-0.0013,0.10710000000000001,0.025699999999999997,0.053099999999999994,0.0032,0.0676
1926-09-30,-0.005699999999999999,0.0159,-0.9998999999999999,0.04019999999999999,0.0126,0.0833,0.06480000000000001,-0.049100000000000005,0.0072,-0.005,-0.9998999999999999,0.0404,-0.0026,0.0542,-0.9998999999999999,0.023,-0.0012,-0.12050000000000001,0.0016,-0.9998999999999999,0.0036,-0.005699999999999999,0.050199999999999995,-0.0709,0.0288,-0.9998999999999999,-0.9998999999999999,0.0176,0.003,-0.0359,0.020499999999999997,0.0242,-0.9998999999999999,0.0083,0.042,-0.9998999999999999,-0.0605,-0.0063,-0.9998999999999999,-0.0554,0.001,-0.0787,0.0025,-0.005600000000000001,-0.018000000000000002,0.0072,-0.030600000000000002,-0.0483,-0.0358
1926-10-31,-0.0046,-0.036699999999999997,-0.9998999999999999,-0.0331,0.010700000000000001,-0.013999999999999999,-0.0509,0.0537,-0.0466,0.0012,-0.9998999999999999,0.0347,-0.0177,-0.0475,-0.9998999999999999,0.009899999999999999,-0.044199999999999996,-0.0859,-0.0385,-0.9998999999999999,0.0095,-0.057300000000000004,-0.08109999999999999,-0.1336,-0.0545,-0.9998999999999999,-0.9998999999999999,-0.032,0.022400000000000003,-0.0104,-0.0327,-0.0011,-0.9998999999999999,0.0183,-0.024700000000000003,-0.9998999999999999,-0.0392,0.0021,-0.9998999999999999,-0.0508,-0.0263,-0.15380000000000002,-0.0219,-0.041100000000000005,-0.1193,-0.042800000000000005,-0.0575,-0.0095,-0.08470000000000001
1926-11-30,0.0675,0.0626,-0.9998999999999999,0.0729,0.045599999999999995,0.0,0.0183,-0.0662,-0.0053,0.0187,-0.9998999999999999,0.0441,0.0576,0.0518,-0.9998999999999999,0.0319,0.022000000000000002,0.0225,0.0421,-0.9998999999999999,0.0335,0.0508,-0.006500000000000001,0.06559999999999999,0.0789,-0.9998999999999999,-0.9998999999999999,0.08460000000000001,-0.0048,0.0005,0.044000000000000004,0.0163,-0.9998999999999999,0.0078000000000000005,0.032799999999999996,-0.9998999999999999,0.0131,0.0425,-0.9998999999999999,0.0385,0.0161,0.0467,0.0654,0.0433,-0.0202,0.0358,0.022099999999999998,0.0513,0.0416
1926-12-31,-0.032799999999999996,0.0018,-0.9998999999999999,-0.0409,0.0255,0.0248,0.0216,-0.0329,0.0256,0.004699999999999999,-0.9998999999999999,-0.0333,0.0115,0.0554,-0.9998999999999999,0.0588,0.0363,0.0076,0.0339,-0.9998999999999999,0.050199999999999995,-0.024900000000000002,0.105,0.0917,0.023799999999999998,-0.9998999999999999,-0.9998999999999999,0.018500000000000003,0.0143,0.0294,-0.0018,0.0199,-0.9998999999999999,0.0516,0.0437,-0.9998999999999999,-0.005,0.1014,-0.9998999999999999,-0.0463,0.036699999999999997,0.0965,0.005699999999999999,0.0151,-0.0245,0.0326,0.0795,-0.0159,-0.024399999999999998
1927-01-31,-0.0366,-0.0016,-0.9998999999999999,0.0059,-0.0033,0.0173,0.018799999999999997,0.0121,0.0407,-0.0092,-0.9998999999999999,0.0545,0.0496,0.0023,-0.9998999999999999,-0.0146,-0.0183,-0.0355,-0.0038,-0.9998999999999999,0.011899999999999999,-0.0102,-0.008199999999999999,-0.0229,-0.0059,-0.9998999999999999,-0.9998999999999999,0.0417,-0.030699999999999998,0.0167,-0.0179,0.018799999999999997,-0.9998999999999999,0.058600000000000006,0.0073,-0.9998999999999999,0.0148,-0.0301,-0.9998999999999999,-0.024900000000000002,0.0141,-0.1793,-0.0269,0.0166,-0.0537,-0.008199999999999999,-0.015600000000000001,-0.030699999999999998,-0.041299999999999996
1927-02-28,0.0765,0.0366,-0.9998999999999999,0.1283,0.0149,-0.0622,0.024300000000000002,0.10310000000000001,0.045599999999999995,0.0278,-0.9998999999999999,0.0519,0.0069,0.0969,-0.9998999999999999,0.0764,0.0407,0.0801,0.036699999999999997,-0.9998999999999999,0.0787,0.043,0.0962,-0.0392,0.0472,-0.9998999999999999,-0.9998999999999999,0.052000000000000005,0.0564,0.011200000000000002,0.0454,0.0397,-0.9998999999999999,0.058600000000000006,0.0682,-0.9998999999999999,0.0582,0.0368,-0.9998999999999999,0.0545,0.0519,0.0349,0.0349,0.0673,0.083,0.0066,0.043,0.019799999999999998,0.0027
1927-03-31,-0.006,0.0276,-0.9998999999999999,-0.1356,0.0559,-0.0889,0.0189,-0.0783,-0.0008,0.0091,-0.9998999999999999,0.0124,0.009300000000000001,0.0616,-0.9998999999999999,-0.053899999999999997,0.034300000000000004,0.0521,0.0148,-0.9998999999999999,-0.0223,0.0040999999999999995,0.015600000000000001,0.0,-0.0179,-0.9998999999999999,-0.9998999999999999,0.045599999999999995,0.0538,-0.0703,0.0037,0.0562,-0.9998999999999999,-0.04,0.0601,-0.9998999999999999,-0.12300000000000001,0.0626,-0.9998999999999999,-0.0966,0.0095,-0.2047,-0.003,-0.0345,-0.0809,0.07339999999999999,-0.043,-0.0141,0.022799999999999997
1927-04-30,0.053899999999999997,0.021099999999999997,-0.9998999999999999,0.0286,0.0444,-0.0040999999999999995,-0.0405,0.0377,0.0143,0.059500000000000004,-0.9998999999999999,-0.0037,0.0368,0.0294,-0.9998999999999999,0.004699999999999999,-0.0073,-0.0867,-0.0034000000000000002,-0.9998999999999999,0.0182,0.0629,0.028999999999999998,-0.1148,-0.0060999999999999995,-0.9998999999999999,-0.9998999999999999,0.0292,0.011000000000000001,-0.0579,0.0171,-0.0207,-0.9998999999999999,0.0076,0.0473,-0.9998999999999999,0.0882,0.0143,-0.9998999999999999,0.049,0.0078000000000000005,-0.1075,0.0438,0.0706,-0.0599,0.030899999999999997,0.0069,0.0818,0.0471
