,Mom
1927-01-31,0.005699999999999999
1927-02-28,-0.0151
1927-03-31,0.0352
1927-04-30,0.0435
1927-05-31,0.0278
1927-06-30,0.0054
1927-07-31,0.0417
1927-08-31,0.013600000000000001
1927-09-30,0.0194
1927-10-31,-0.009000000000000001
1927-11-30,-0.0023
1927-12-31,0.0311
1928-01-31,-0.0045000000000000005
1928-02-29,-0.010700000000000001
1928-03-31,0.0475
1928-04-30,-0.058499999999999996
1928-05-31,0.0264
1928-06-30,0.0169
1928-07-31,0.0254
1928-08-31,0.0368
1928-09-30,0.0349
1928-10-31,0.051699999999999996
1928-11-30,0.0187
1928-12-31,0.0144
1929-01-31,0.024300000000000002
1929-02-28,0.030699999999999998
1929-03-31,-0.0062
1929-04-30,0.0207
1929-05-31,-0.0219
1929-06-30,0.08310000000000001
1929-07-31,0.0296
1929-08-31,0.044000000000000004
1929-09-30,0.0296
1929-10-31,0.024399999999999998
1929-11-30,-0.0204
1929-12-31,0.0542
1930-01-31,-0.0546
1930-02-28,0.011200000000000002
1930-03-31,-0.042300000000000004
1930-04-30,0.041299999999999996
1930-05-31,-0.0076
1930-06-30,0.0584
1930-07-31,-0.021400000000000002
1930-08-31,0.0387
1930-09-30,0.1159
1930-10-31,0.06269999999999999
1930-11-30,-0.0134
1930-12-31,0.1251
1931-01-31,-0.111
1931-02-28,-0.1358
1931-03-31,0.0971
1931-04-30,0.1097
1931-05-31,0.0922
1931-06-30,-0.1754
1931-07-31,0.0839
1931-08-31,-0.0332
1931-09-30,0.09300000000000001
1931-10-31,0.028999999999999998
1931-11-30,0.0803
1931-12-31,0.1292
1932-01-31,-0.09939999999999999
1932-02-29,0.0148
1932-03-31,0.10039999999999999
1932-04-30,0.07629999999999999
1932-05-31,0.12539999999999998
1932-06-30,0.0192
1932-07-31,-0.45630000000000004
1932-08-31,-0.5261
1932-09-30,0.0246
1932-10-31,0.0462
1932-11-30,-0.0096
1932-12-31,0.0464
1933-01-31,-0.024399999999999998
1933-02-28,0.046
1933-03-31,0.0424
1933-04-30,-0.1705
1933-05-31,-0.0554
1933-06-30,0.0425
1933-07-31,-0.0034999999999999996
1933-08-31,0.0754
1933-09-30,0.016399999999999998
1933-10-31,-0.0213
1933-11-30,0.0646
1933-12-31,0.0401
1934-01-31,-0.0348
1934-02-28,0.0009
1934-03-31,-0.0067
1934-04-30,-0.0481
1934-05-31,-0.0239
1934-06-30,-0.0079
1934-07-31,0.08800000000000001
1934-08-31,0.0256
1934-09-30,-0.0006
1934-10-31,0.0688
1934-11-30,0.0377
1934-12-31,0.0453
1935-01-31,0.031
1935-02-28,0.1446
1935-03-31,0.023700000000000002
1935-04-30,-0.0475
1935-05-31,-0.0359
1935-06-30,0.026600000000000002
1935-07-31,-0.0479
1935-08-31,-0.0646
1935-09-30,0.08310000000000001
1935-10-31,0.0182
1935-11-30,-0.07139999999999999
1935-12-31,0.037000000000000005
1936-01-31,-0.029500000000000002
1936-02-29,0.0253
1936-03-31,0.0163
1936-04-30,-0.0767
1936-05-31,0.025
1936-06-30,0.005600000000000001
