,ism_manufacturing_index,manu_new_orders,manu_production,manu_employment,manu_deliveries,manu_inventories,manu_prices
1/1/1948,51.7,53.3,59.1,54.8,36.3,45.3,72.2
2/1/1948,50.2,51.1,55.2,55.8,37.1,43.9,62.7
3/1/1948,43.3,43.9,47.8,44,32.7,44.5,69.3
4/1/1948,45.4,44.5,49.5,43.9,41.6,46.1,75.8
5/1/1948,49.5,51.2,52.1,51.8,40.4,47,70.8
6/1/1948,53,58.1,56.8,50.8,38.4,54.7,78.5
7/1/1948,48.4,50.4,51.4,49.1,36.8,51.1,77.3
8/1/1948,45.1,46,51,46.1,31.2,46.6,77
9/1/1948,42.1,40.6,47.9,46.1,28.3,45.2,66
10/1/1948,47.2,52.1,52.7,47.5,28.7,45.4,56.6
11/1/1948,42.4,43.2,48.9,44,28,42.6,51
12/1/1948,35,34.5,42.1,39,17.7,37,47.5
1/1/1949,32.9,31.4,42,34.1,16.6,36.6,39.6
2/1/1949,31.3,34.2,39.6,28.3,13.1,34.9,31.3
3/1/1949,34.5,42.1,41.9,31.1,12.4,33.3,31.8
4/1/1949,35.5,42.3,44.1,31.6,16.2,27.9,13.8
5/1/1949,32.6,41.1,38.2,29,15.5,25.5,20.1
6/1/1949,31.6,39.8,38.4,27.2,15,24.1,10.6
7/1/1949,39,49.1,47,34.8,22.4,21.5,28.8
8/1/1949,47,55.7,58.5,40,33,26.8,42.7
9/1/1949,52.3,58,60.3,51.4,39.9,35.8,47.5
10/1/1949,51,58.9,54.5,43.7,46.1,40.6,42.1
11/1/1949,51,58.7,55.7,42.9,51.5,31.3,51.1
12/1/1949,57.3,53.1,63.3,52.6,52.2,41.7,49.9
1/1/1950,59.1,62.3,64.3,57.7,56.3,43.6,62.4
2/1/1950,60.5,62.5,66.7,51.1,68,46.4,70.9
3/1/1950,62.1,61.8,65.8,56.9,72,48.8,77
4/1/1950,68.1,71,74.8,63.4,68.8,50.6,80.2
5/1/1950,74.7,76.6,78.1,69.8,82.9,58.2,98.2
6/1/1950,76.6,82.6,79.1,71.9,76.5,62.1,100
7/1/1950,77.5,80.3,77.1,72.5,89.4,62.7,90.7
8/1/1950,75.8,77.1,78.7,72.3,81.7,62.3,84.8
9/1/1950,68.1,66.4,68.6,72.2,73.7,55.2,84.4
10/1/1950,59.2,49,62.9,65.6,70.3,50.6,84.8
11/1/1950,63.1,57.2,63.6,66.7,79.1,48.3,85.1
12/1/1950,67.1,67.7,62.5,65.1,87.5,49.7,91.1
1/1/1951,67.8,67.9,63,67.8,88.7,48,85.1
2/1/1951,69.3,70,61.4,73.7,93.3,42.1,86.5
3/1/1951,65.5,61,61.2,72,85.1,47.4,76.6
4/1/1951,53.5,42.3,53.5,61.9,65.7,51.8,68.5
5/1/1951,50.7,45.2,54.2,58.8,45,51.2,63.6
6/1/1951,45.5,39.1,48.6,56.4,36.7,48.4,52.1
7/1/1951,42.1,38.2,41.6,53.2,32.2,47.8,46.4
8/1/1951,43.6,38.5,48.4,51.7,32,46.7,43.2
9/1/1951,48.1,48.2,50.2,48.6,46.4,43.8,45.7
10/1/1951,49.6,51.7,50.3,51.1,47.2,42,54.4
11/1/1951,47.2,49.3,50.9,50.2,34.9,44.5,55.6
12/1/1951,46.5,45.3,52.8,51.8,33.6,42.6,56.6
1/1/1952,44.7,46.8,49.5,46.9,31.3,42.5,51.8
2/1/1952,41.8,42.3,49.9,44.8,24.9,39.3,52.7
3/1/1952,40,43.7,48.7,41.8,18.8,35.6,44.7
4/1/1952,36.7,35.8,43.5,43.3,19.4,35.4,42.6
5/1/1952,39.5,43.9,45.7,42.7,22.4,30.3,38.8
6/1/1952,43.3,46.3,49.5,43.5,33,33.8,40.4
7/1/1952,48.3,69.4,37.2,39.5,47.4,31.6,60.1
8/1/1952,60.4,58.5,84,63.1,41.2,30.5,54.7
9/1/1952,56.1,60.3,66,56.2,42.7,38.6,57.9
10/1/1952,56.2,59.9,65.3,57.8,43.3,38.2,54.1
11/1/1952,56.8,58.8,65,60.9,45,39.9,49.7
12/1/1952,55.8,60.4,64.3,55.6,43.5,40,48.2
1/1/1953,59.4,64.6,69.8,61.5,41.5,40.9,45.1
2/1/1953,55.4,56,62.4,61.7,41.8,44.3,54.5
3/1/1953,50.5,47.2,54,59.4,41.8,46.4,73.3
4/1/1953,51.1,52,57.3,55,38.6,43.8,69.3
5/1/1953,48.9,49.3,57.1,52.3,35.1,41.2,72.3
6/1/1953,48.5,48.3,55.2,53.8,33.3,44.6,69.7
7/1/1953,46.3,44.2,53.1,54.4,28.5,45.6,62
8/1/1953,43.5,42.1,50.7,48.1,26.5,46.2,55.8
9/1/1953,40.2,39.9,46.8,43.8,23.2,43.3,43.8
10/1/1953,37.4,38,44.6,37.9,20.7,41.3,45.1
11/1/1953,36.9,40.9,43.4,35.8,20.2,35.5,47
12/1/1953,35.6,37.5,41.3,36.6,21.8,34.2,47.7
1/1/1954,37.4,42.9,45,31.5,23.6,34.2,40.5
2/1/1954,40.7,50.3,46,34.8,26.9,30.9,41.6
3/1/1954,44.7,54.7,51.5,40.2,28,31.6,46.6
4/1/1954,47.7,58.4,55.4,42.4,30.3,33.2,49.7
5/1/1954,50.1,60.2,56.3,44.5,34.3,39.1,45.6
6/1/1954,52.1,64.6,59.4,45.2,35.8,34.4,52.5
7/1/1954,51.7,63.8,57.4,44.4,38.1,35.7,53.8
8/1/1954,54.4,56.6,56.2,37.7,36.4,37.7,41.7
9/1/1954,53.5,62.2,57,49.7,43.6,40.8,53
10/1/1954,58.2,66.7,62.4,55.8,49.5,40.5,57.6
11/1/1954,58.8,66,63,55.1,51.9,44.7,57.8
12/1/1954,63.8,73.6,70.5,55.8,54.5,47.1,59.1
1/1/1955,63,66.8,69.1,59,60.6,48,66.7
2/1/1955,67.8,73.9,70.9,63.4,67.2,51.3,82
3/1/1955,67.5,71.5,71,63,68.5,54.4,69.8
4/1/1955,68.7,70.9,73.8,63.9,71.9,54.2,75.2
5/1/1955,69.5,72.9,73.5,66.2,68.7,56.6,81
6/1/1955,63.3,60.9,65.5,61.2,65.7,65.2,75.9
7/1/1955,66.2,67.1,72.1,60.9,67,58.4,80.4
8/1/1955,64.8,70.4,67.1,59.2,64.3,54.2,79.5
9/1/1955,62.4,63.7,64.3,59.7,66.3,53.5,82.2
10/1/1955,63.7,66.3,65.1,60.9,66.5,53.5,80.5
11/1/1955,62,61.5,63.9,61.3,64.9,55.5,77.3
12/1/1955,65.6,66.6,72.4,63.9,61.4,55.4,80
1/1/1956,60.2,61.8,64,62.3,53.5,52.2,82.7
2/1/1956,58.2,56.2,63.5,61,51.3,56.1,83.5
3/1/1956,57.2,57.3,61,56.9,51,57.2,87.7
4/1/1956,55.9,55.9,58.9,54.8,51,57.5,87.5
