,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196307,13.93,14.331,13.94,13.7335,12.1907,36.0734,37.1209,35.6258,37.2956,35.9077,74.7535,76.5513,74.4138,73.4988,71.5407,179.6465,182.3735,190.8577,186.8342,176.617,1057.7941,1860.7478,1151.7424,1072.0935,657.8307
196308,13.9984,14.2516,13.9459,13.6651,12.3286,35.5033,36.9726,35.5179,36.4496,35.1454,74.5026,75.0078,72.0533,71.3378,70.3679,179.1349,179.1949,185.959,182.731,173.7829,1070.2641,1865.8005,1137.6096,1066.1806,663.7439
196309,14.1127,14.8431,14.2773,13.9005,12.7576,35.6929,38.1604,36.3011,38.2901,38.5788,76.2029,78.2248,75.1746,74.4058,75.5123,184.2922,186.7492,195.048,194.3538,189.9238,1105.8288,1947.9823,1201.6041,1131.7613,738.4908
196310,14.0901,14.4663,14.1888,13.73,12.3116,35.2957,37.1666,34.9008,37.923,37.1857,75.0594,77.4964,73.4024,73.3392,72.8335,180.4969,182.4338,193.121,185.5244,181.0827,1070.8875,1931.222,1193.701,1128.6086,729.4533
196311,13.9347,14.5544,14.4308,14.2819,12.5672,36.1674,37.9602,35.2924,39.0495,38.7533,75.9942,78.9265,73.9825,76.005,73.711,180.9136,182.8134,194.3034,188.3067,188.3668,1075.2434,2003.4393,1221.835,1204.7095,772.3348
196312,13.9865,14.1625,14.1902,14.1092,12.3168,36.3827,37.9212,34.7013,38.5347,38.1868,74.3302,77.7171,71.9089,74.3124,73.2443,180.243,180.4073,192.2619,187.3816,188.7613,1060.0012,1970.8773,1195.0723,1189.6856,775.8655
196401,13.752,14.4084,14.7788,13.7816,12.2111,35.859,38.2848,35.0661,38.2915,38.4069,74.0254,78.6734,72.142,74.8702,74.8639,180.3384,184.3427,201.3979,195.5382,191.9028,1099.1812,2015.1569,1237.2076,1228.902,802.5535
196402,14.1462,14.9997,15.1167,14.3398,12.5282,36.3309,39.1484,36.2535,39.4111,39.0868,74.3929,80.7056,73.2902,76.7841,77.1023,183.3086,184.6953,205.1284,197.2767,193.4858,1130.86,2069.8311,1263.2796,1278.5343,808.2291
196403,14.2486,15.4931,15.3029,14.7569,12.9481,37.3024,40.3054,37.8249,40.42,40.8273,76.0754,82.0432,75.1413,78.2969,79.3623,188.7588,189.1918,206.9241,202.5979,203.6115,1135.2983,2094.7797,1288.6051,1311.0894,816.8937
196404,14.6913,15.8662,15.9335,15.4686,13.1611,38.0607,41.5284,38.9665,41.5317,43.7298,76.1029,85.8919,77.3976,83.7022,82.8968,191.4352,193.3793,213.0782,209.8485,214.4941,1142.9006,2099.9139,1311.3432,1343.4664,873.3042
196405,14.863,15.9151,15.8845,15.2375,13.106,38.2619,41.8148,39.3838,42.7001,42.2,76.9283,85.7466,76.8651,81.0217,80.7247,190.9185,191.3973,210.9068,207.6472,212.6492,1172.5921,2140.2581,1302.3302,1302.8473,846.0709
196406,14.9353,15.8996,15.7842,15.422,13.1027,39.4577,42.9869,40.0117,42.9223,43.5548,77.064,86.5326,77.6062,81.2608,82.9147,192.3186,193.6083,214.4616,212.8659,213.188,1187.4788,2154.3945,1316.434,1326.0772,878.4418
196407,8.9844,11.861,11.327,11.3205,8.6439,37.6992,37.7061,40.2943,39.3144,41.4709,80.5331,80.171,82.4585,80.2311,79.8581,200.2035,211.0452,216.3662,171.659,202.5205,2126.2398,1573.2772,1385.2657,1109.5469,715.4211
196408,9.2723,12.0281,11.6436,11.7358,8.9179,39.3776,38.8262,41.0609,40.887,41.8135,82.2793,82.4526,84.4592,81.8771,81.8967,207.0003,218.0063,221.0967,175.0043,201.6481,2151.5147,1628.4236,1412.5954,1107.4216,723.4147
196409,9.3202,11.8877,11.4063,11.5837,8.7848,39.1552,38.7325,40.5441,40.272,40.4934,81.6102,81.2225,83.9763,82.007,79.8915,208.6305,216.6125,220.4503,173.0326,196.6173,2114.3665,1611.6309,1383.0925,1074.1298,708.3602
196410,9.6876,12.0612,11.8891,12.1142,9.237,39.938,39.7923,41.7496,41.2565,42.2378,83.7381,83.1781,87.5345,83.6347,82.013,215.7904,223.8189,225.2157,182.741,205.2876,2138.6101,1662.514,1433.2982,1100.3812,756.9339
196411,9.844,12.2997,12.3284,12.3118,9.4275,40.5097,40.1786,42.651,41.9692,42.156,86.153,84.9065,88.7114,84.2061,84.9489,220.8074,227.3809,228.4154,183.3819,207.1801,2146.8512,1686.0952,1447.1663,1080.7325,747.3041
196412,9.8876,12.3951,12.483,12.4155,9.3174,39.9156,40.1119,42.4179,41.4652,41.3666,87.2466,84.2643,89.2002,84.0495,84.3237,222.0398,227.1029,227.0747,180.3541,205.7173,2144.0304,1675.7265,1426.0459,1065.4198,707.1024
196501,9.7413,12.2774,12.4592,12.2414,9.1336,39.9379,40.8246,41.43,41.6264,41.5525,89.4456,84.1502,87.8851,82.7045,86.0745,221.8074,225.2104,230.5103,181.8971,198.6767,2201.2888,1692.0601,1438.0567,1071.7638,726.378
196502,10.3939,12.6009,13.2571,13.2791,9.9057,42.3537,42.4965,43.6849,44.1396,44.5883,93.997,88.4104,92.9847,88.0402,91.2513,229.4739,236.7042,244.1126,190.7771,212.799,2217.1252,1751.4777,1498.228,1140.4894,766.9434
196503,10.6065,12.8409,13.7475,13.5535,10.0599,44.2528,42.9208,46.382,45.8023,46.0353,96.9551,88.6022,95.2778,91.4073,96.1209,234.6586,239.8277,249.0344,199.3295,226.3616,2183.8851,1725.5833,1505.8078,1163.2144,797.2694
196504,10.8699,13.2714,13.9257,13.7298,10.314,44.0961,43.2256,46.5909,46.2977,45.4299,97.5966,90.1912,94.2834,92.0645,95.269,233.5087,238.1915,246.3733,199.1674,226.8064,2146.1016,1713.3471,1468.9199,1150.0041,791.4658
196505,11.3494,14.0501,14.5661,14.356,10.8164,45.9527,44.2581,49.0052,48.4528,47.3499,100.8658,92.3493,98.662,94.1188,101.5844,240.3441,246.0125,252.8174,207.2934,238.8506,2178.5799,1779.084,1526.234,1205.8598,825.0015
196506,11.3164,13.9476,14.6539,14.171,10.6853,44.4793,43.2846,48.6839,47.7166,47.085,99.1619,90.9742,98.2477,93.0112,101.4572,238.6179,241.7033,249.0379,205.1516,238.1722,2188.4942,1742.1734,1525.2652,1192.4354,803.1713
196507,10.4043,11.9267,11.9422,11.8064,9.6836,40.3158,42.1853,41.4171,42.6929,41.731,93.1196,89.2864,87.7139,84.2222,81.556,216.5664,225.792,220.9445,193.2601,213.549,1841.0022,2049.4262,1075.5232,1310.768,637.8154
196508,10.709,12.1949,12.4374,12.1248,9.9281,41.5542,43.5018,42.0512,43.8138,43.6185,97.1843,90.806,91.4524,86.374,85.5213,223.185,231.3125,227.9955,202.1317,221.0058,1887.6337,2060.0103,1076.3888,1337.0114,696.1953
196509,10.8277,12.566,12.6746,12.5955,10.606,42.045,45.6664,43.8113,45.2998,46.6964,101.1737,93.3171,97.3552,91.695,92.3335,227.3136,239.1413,235.1773,212.1777,234.8812,1897.7134,2096.1862,1111.351,1390.8767,750.9514
196510,11.0241,12.7027,13.171,13.058,11.0093,43.2738,46.5318,44.6713,46.735,49.2341,102.2417,95.0259,101.5949,94.672,97.2336,232.0088,244.4081,239.6183,218.4327,248.4052,1986.3724,2137.7132,1130.047,1425.5473,792.3271
196511,11.5834,13.9331,13.9691,14.2373,11.9944,45.0003,48.4312,47.0202,50.4997,52.1803,102.5375,98.1513,108.3272,99.3106,104.6614,237.4438,251.886,247.9718,230.0929,262.6055,2034.4529,2169.1686,1152.2925,1471.4524,852.1634
196512,11.8844,14.9213,14.9562,14.9809,12.8029,45.9929,50.5229,49.0786,53.5914,54.6031,109.8752,99.4302,109.4041,101.3568,110.4146,242.1459,253.0262,252.54,246.6316,277.0529,1989.1328,2092.4995,1164.2212,1489.4747,913.8813
