Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260701,7.83,6.94,4.74,111.5,118.36,43.37
19260702,7.84,6.93,4.72,110.17,118.46,43.41
19260706,7.85,6.91,4.74,110.73,118.99,43.5
19260707,7.88,6.94,4.75,111.06,119.11,43.4
19260708,7.89,6.92,4.72,111.14,119.27,43.71
19260709,7.88,6.92,4.72,111.55,119.47,43.97
19260710,7.81,6.92,4.73,110.72,118.53,43.71
19260712,7.8,6.93,4.73,111.73,119.16,43.91
19260713,7.77,6.94,4.77,111.91,119.04,44.06
19260714,7.78,6.94,4.78,112.79,119.51,44.11
19260715,7.78,6.95,4.77,113.05,119.34,43.94
19260716,7.81,6.93,4.76,112.21,118.95,43.71
19260717,7.89,6.95,4.77,112.97,119.37,43.93
19260719,7.94,7,4.79,113.8,119.41,43.84
19260720,7.95,7.02,4.76,113.87,119.4,43.76
19260721,7.86,6.97,4.73,113.17,118.89,43.5
19260722,7.84,6.93,4.73,112.41,118.13,43.43
19260723,7.75,6.86,4.67,111.33,117.51,42.9
19260724,7.77,6.84,4.68,111.31,117.45,42.91
19260726,7.81,6.87,4.69,111.03,117.32,42.94
19260727,7.83,6.87,4.69,111.92,117.85,43.12
19260728,7.82,6.9,4.7,112.57,118.34,43.41
19260729,7.88,6.98,4.75,114.25,119.29,43.73
19260730,7.87,6.98,4.71,115.3,119.53,43.54
19260731,7.85,6.97,4.71,115.32,119.91,43.89
19260802,7.8,6.79,4.58,115.86,119.51,44.15
19260803,7.76,6.86,4.61,117.28,120.37,44.21
19260804,7.85,6.85,4.63,118.42,120.56,44.51
19260805,7.84,6.82,4.62,117.66,120.33,44.49
19260806,7.83,6.82,4.65,117.33,120.33,44.74
19260807,7.88,6.9,4.68,118.17,120.99,45.17
19260809,7.94,6.93,4.72,119.29,121.24,45.3
19260810,7.95,6.92,4.73,119.97,121.18,45.29
19260811,7.86,6.86,4.66,117.55,119.92,44.67
19260812,7.79,6.84,4.66,116.74,119.35,44.36
19260813,7.8,6.87,4.67,117.9,120.3,45.02
19260814,7.77,6.85,4.67,118.72,121.06,45.31
19260816,7.82,6.94,4.69,119.97,121.56,45.46
