Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19630701,20.2,23.1,21.48,542.36,819.25,656.85
19630702,20.03,22.99,21.28,539.01,814.38,651.23
19630703,20.14,23.13,21.39,541.99,821.5,657.46
19630705,20.2,23.21,21.54,544.54,827.11,662.2
19630708,20.28,23.3,21.69,545.32,831.03,665.98
19630709,20.18,23.2,21.54,542.08,826.22,661.14
19630710,20.26,23.28,21.66,545.44,828.89,664.92
19630711,20.23,23.29,21.7,544.79,827.09,663.38
19630712,20.19,23.3,21.73,545.38,826.19,660.83
19630715,20.13,23.26,21.77,546.4,825.59,658.5
19630716,20.04,23.08,21.68,542.69,820.42,654.33
19630717,20.02,23.06,21.61,540.53,820.35,654.59
19630718,19.96,23.01,21.49,538.33,818.49,652.18
19630719,19.91,22.95,21.41,536.29,814.92,646.28
19630722,19.84,22.87,21.34,533.12,814.1,645.87
19630723,19.66,22.72,21.14,528.18,809.09,641.58
19630724,19.65,22.71,21.13,528.18,809.74,642.41
19630725,19.73,22.76,21.25,529.72,813.53,647.05
19630726,19.79,22.79,21.24,529.01,813.66,646.35
19630729,19.86,22.87,21.27,529.82,816.59,650.26
19630730,19.87,22.87,21.27,529.78,817.75,651.71
19630731,20,22.93,21.43,533.71,823.13,661.45
19630801,19.97,22.95,21.43,535.11,822.51,657.68
19630802,19.91,22.89,21.4,535.05,821.79,656.92
19630805,19.93,22.97,21.48,537.46,824.83,657.67
19630806,19.97,22.99,21.55,542.64,828.26,661.97
19630807,20,23.12,21.64,545.69,833.84,664.68
19630808,20,23.04,21.59,543.93,832.09,662
19630809,20,23.07,21.67,544.39,833.23,664.35
19630812,20.09,23.18,21.82,547.76,838.26,669.11
19630813,20.23,23.24,21.9,549.99,839.67,668.29
19630814,20.24,23.23,21.89,550.99,841.54,671.02
19630815,20.34,23.26,21.94,553.31,843.37,674.89
19630816,20.39,23.31,21.96,555.38,846.96,678.77
19630819,20.39,23.33,22.05,556.33,848.28,679.78
19630820,20.37,23.33,22,555.14,848.29,679.83
19630821,20.33,23.35,21.96,555.29,847.87,678.7
19630822,20.39,23.38,22,554.32,846.34,677.7
19630823,20.48,23.44,22.19,557.42,847.41,683.12
19630826,20.55,23.56,22.27,559.64,850.37,686.03
19630827,20.55,23.59,22.32,560.14,851.84,688.04
19630828,20.46,23.49,22.19,556.64,847.94,683.46
19630829,20.65,23.72,22.35,561.24,853.36,688.52
19630830,20.74,23.74,22.43,563.09,854.74,689.95
19630903,20.83,23.89,22.54,564.75,858.63,694.68
19630904,20.94,23.95,22.57,566.77,859.57,697.68
19630905,20.96,23.97,22.6,567.39,858.17,698.89
19630906,21.05,24.08,22.67,569.86,862.6,702.49
19630909,20.97,24.03,22.54,568.72,859.39,702.86
19630910,20.88,23.87,22.4,567.42,856.31,700.81
19630911,21.02,23.86,22.52,570.15,859.04,708.59
19630912,21.12,23.86,22.47,571.93,861.2,710.76
19630913,21.08,23.82,22.49,570.09,861.75,708.43
19630916,21.19,23.87,22.56,570.71,861.15,708.87
19630917,21.14,23.93,22.61,568.61,859.95,708.98
19630918,21.12,23.91,22.53,568.7,860.24,709.86
19630919,21.02,23.85,22.43,564.71,858.39,704.99
19630920,21.1,23.83,22.52,568.65,862.62,710.16
19630923,21.08,23.8,22.55,568.54,861.53,713.54
19630924,20.94,23.68,22.37,566.21,858.1,709.38
19630925,20.98,23.68,22.37,567.45,862.83,711.28
19630926,20.8,23.49,22.18,564.21,859.1,705.15
19630927,20.69,23.39,22.08,560.53,853.14,695.99
19630930,20.68,23.4,22.14,560.4,851.04,694.83
19631001,20.56,23.32,21.98,557.23,845.44,691
19631002,20.68,23.44,22.04,558.49,852.38,696.32
19631003,20.66,23.46,22.03,559.16,852.7,698.81
19631004,20.82,23.55,22.19,565.87,856.21,705.37
19631007,20.86,23.54,22.19,566.47,856.47,704.96
19631008,20.89,23.55,22.16,565.16,853.16,705.75
19631009,20.89,23.56,22.22,564.16,851.39,705.75
19631010,20.79,23.48,22.02,560.19,846.6,701
19631011,20.8,23.5,22.05,560.74,846.95,702.37
19631014,20.89,23.56,22.22,562.67,847.45,702.96
19631015,20.89,23.55,22.27,562.38,848.13,703.96
19631016,20.86,23.56,22.22,563.18,849.69,705.23
19631017,21.03,23.61,22.39,566.03,857.22,714.98
19631018,21.07,23.69,22.44,567.59,857.42,717.35
19631021,21.12,23.67,22.48,568.15,857.65,718.69
19631022,21.04,23.61,22.45,570.62,857.76,718.84
19631023,20.93,23.56,22.36,564.66,854.19,715.49
19631024,20.9,23.53,22.39,565.33,854.4,715.95
19631025,20.97,23.63,22.48,568.17,856.09,721.03
19631028,21.07,23.66,22.62,570.39,861.98,736.51
19631029,20.96,23.66,22.52,571.47,865.91,743.61
19631030,20.95,23.61,22.38,572.92,863.73,745.69
19631031,20.88,23.53,22.24,569.51,857.48,735.53
19631101,20.93,23.46,22.34,568.28,859.71,739.78
19631104,20.97,23.53,22.28,565.85,858.86,736.94
19631106,20.88,23.55,22.14,563.43,857.08,728.53
19631107,20.79,23.44,21.97,561.21,848.84,721.43
19631108,20.88,23.5,22.06,560.94,852.52,724.57
19631111,20.96,23.65,22.24,564.48,857.7,723.13
19631112,21.04,23.75,22.34,565.52,859.03,725.01
19631113,20.95,23.63,22.34,563.09,855.27,721.87
19631114,20.96,23.61,22.4,563.1,856.47,722.03
19631115,20.92,23.53,22.3,562.48,852.53,717.69
19631118,20.87,23.45,22.14,559.99,846.21,708.87
19631119,20.71,23.3,21.99,556.8,838.84,704.66
19631120,20.67,23.23,21.97,558.08,839.48,705.41
19631121,20.68,23.11,21.85,561.36,851.45,706
19631122,20.4,22.86,21.47,552.53,842.44,693.72
