date,spx_eps
12/1/1927,1.11
1/1/1928,1.18
2/1/1928,1.18
3/1/1928,1.18
4/1/1928,1.25
5/1/1928,1.25
6/1/1928,1.25
7/1/1928,1.31
8/1/1928,1.31
9/1/1928,1.31
10/1/1928,1.38
11/1/1928,1.38
12/1/1928,1.38
1/1/1929,1.44
2/1/1929,1.44
3/1/1929,1.44
4/1/1929,1.5
5/1/1929,1.5
6/1/1929,1.5
7/1/1929,1.55
8/1/1929,1.55
9/1/1929,1.55
10/1/1929,1.61
11/1/1929,1.61
12/1/1929,1.61
1/1/1930,1.45
2/1/1930,1.45
3/1/1930,1.45
4/1/1930,1.29
5/1/1930,1.29
6/1/1930,1.29
7/1/1930,1.13
8/1/1930,1.13
9/1/1930,1.13
10/1/1930,0.97
11/1/1930,0.97
12/1/1930,0.97
1/1/1931,0.88
2/1/1931,0.88
3/1/1931,0.88
4/1/1931,0.79
5/1/1931,0.79
6/1/1931,0.79
7/1/1931,0.7
8/1/1931,0.7
9/1/1931,0.7
10/1/1931,0.61
11/1/1931,0.61
12/1/1931,0.61
1/1/1932,0.56
2/1/1932,0.56
3/1/1932,0.56
4/1/1932,0.51
5/1/1932,0.51
6/1/1932,0.51
7/1/1932,0.46
8/1/1932,0.46
9/1/1932,0.46
10/1/1932,0.41
11/1/1932,0.41
12/1/1932,0.41
1/1/1933,0.42
2/1/1933,0.42
3/1/1933,0.42
4/1/1933,0.43
5/1/1933,0.43
6/1/1933,0.43
7/1/1933,0.43
8/1/1933,0.43
9/1/1933,0.43
10/1/1933,0.44
11/1/1933,0.44
12/1/1933,0.44
1/1/1934,0.45
2/1/1934,0.45
3/1/1934,0.45
4/1/1934,0.47
5/1/1934,0.47
6/1/1934,0.47
7/1/1934,0.48
8/1/1934,0.48
9/1/1934,0.48
10/1/1934,0.49
11/1/1934,0.49
12/1/1934,0.49
1/1/1935,0.73
2/1/1935,0.73
3/1/1935,0.73
4/1/1935,0.81
5/1/1935,0.81
6/1/1935,0.81
7/1/1935,0.76
8/1/1935,0.76
9/1/1935,0.76
10/1/1935,0.76
11/1/1935,0.76
12/1/1935,0.76
1/1/1936,0.79
2/1/1936,0.79
3/1/1936,0.79
4/1/1936,0.88
5/1/1936,0.88
6/1/1936,0.88
7/1/1936,0.94
8/1/1936,0.94
9/1/1936,0.94
10/1/1936,1.02
11/1/1936,1.02
12/1/1936,1.02
1/1/1937,1.11
2/1/1937,1.11
3/1/1937,1.11
4/1/1937,1.17
5/1/1937,1.17
6/1/1937,1.17
7/1/1937,1.22
8/1/1937,1.22
9/1/1937,1.22
10/1/1937,1.13
11/1/1937,1.13
12/1/1937,1.13
1/1/1938,0.97
2/1/1938,0.97
3/1/1938,0.97
4/1/1938,0.77
5/1/1938,0.77
6/1/1938,0.77
7/1/1938,0.62
8/1/1938,0.62
9/1/1938,0.62
10/1/1938,0.64
11/1/1938,0.64
12/1/1938,0.64
1/1/1939,0.71
2/1/1939,0.71
3/1/1939,0.71
4/1/1939,0.76
5/1/1939,0.76
6/1/1939,0.76
7/1/1939,0.81
8/1/1939,0.81
9/1/1939,0.81
10/1/1939,0.9
11/1/1939,0.9
12/1/1939,0.9
1/1/1940,0.99
2/1/1940,0.99
3/1/1940,0.99
4/1/1940,1.04
5/1/1940,1.04
6/1/1940,1.04
7/1/1940,1.08
8/1/1940,1.08
9/1/1940,1.08
10/1/1940,1.05
11/1/1940,1.05
12/1/1940,1.05
1/1/1941,1.06
2/1/1941,1.06
3/1/1941,1.06
4/1/1941,1.09
5/1/1941,1.09
6/1/1941,1.09
7/1/1941,1.19
8/1/1941,1.19
9/1/1941,1.19
10/1/1941,1.16
11/1/1941,1.16
12/1/1941,1.16
1/1/1942,1.04
2/1/1942,1.04
3/1/1942,1.04
4/1/1942,0.98
5/1/1942,0.98
6/1/1942,0.98
7/1/1942,0.94
8/1/1942,0.94
9/1/1942,0.94
10/1/1942,1.03
11/1/1942,1.03
12/1/1942,1.03
1/1/1943,1.07
2/1/1943,1.07
3/1/1943,1.07
4/1/1943,1.1
5/1/1943,1.1
