Date,Value
12/31/1996,7.26
1/2/1997,7.36
1/3/1997,7.34
1/6/1997,7.37
1/7/1997,7.39
1/8/1997,7.41
1/9/1997,7.35
1/10/1997,7.44
1/13/1997,7.44
1/14/1997,7.35
1/15/1997,7.35
1/16/1997,7.39
1/17/1997,7.38
1/20/1997,7.38
1/21/1997,7.34
1/22/1997,7.37
1/23/1997,7.4
1/24/1997,7.44
1/27/1997,7.48
1/28/1997,7.43
1/29/1997,7.43
1/30/1997,7.4
1/31/1997,7.33
2/3/1997,7.27
2/4/1997,7.25
2/5/1997,7.28
2/6/1997,7.28
2/7/1997,7.23
2/10/1997,7.23
2/11/1997,7.23
2/12/1997,7.24
2/13/1997,7.15
2/14/1997,7.1
2/18/1997,7.11
2/19/1997,7.14
2/20/1997,7.2
2/21/1997,7.19
2/24/1997,7.21
2/25/1997,7.22
2/26/1997,7.37
2/27/1997,7.39
2/28/1997,7.39
3/3/1997,7.4
3/4/1997,7.43
3/5/1997,7.42
3/6/1997,7.45
3/7/1997,7.39
3/10/1997,7.39
3/11/1997,7.4
3/12/1997,7.43
3/13/1997,7.54
3/14/1997,7.52
3/17/1997,7.53
3/18/1997,7.53
3/19/1997,7.55
3/20/1997,7.55
3/21/1997,7.55
3/24/1997,7.53
3/25/1997,7.56
3/26/1997,7.6
3/27/1997,7.7
3/31/1997,7.72
4/1/1997,7.69
4/2/1997,7.69
4/3/1997,7.68
4/4/1997,7.74
4/7/1997,7.69
4/8/1997,7.72
4/9/1997,7.72
4/10/1997,7.72
4/11/1997,7.79
4/14/1997,7.8
4/15/1997,7.7
4/16/1997,7.72
4/17/1997,7.67
4/18/1997,7.65
4/21/1997,7.69
4/22/1997,7.67
4/23/1997,7.72
4/24/1997,7.76
4/25/1997,7.77
4/28/1997,7.75
4/29/1997,7.6
4/30/1997,7.55
5/1/1997,7.52
5/2/1997,7.5
5/5/1997,7.5
5/6/1997,7.5
5/7/1997,7.57
5/8/1997,7.54
5/9/1997,7.48
5/12/1997,7.46
5/13/1997,7.52
5/14/1997,7.48
5/15/1997,7.47
5/16/1997,7.5
5/19/1997,7.51
5/20/1997,7.49
5/21/1997,7.53
5/22/1997,7.55
5/23/1997,7.54
5/27/1997,7.58
5/28/1997,7.58
5/29/1997,7.54
5/30/1997,7.48
5/31/1997,7.49
6/2/1997,7.46
6/3/1997,7.43
6/4/1997,7.43
6/5/1997,7.43
6/6/1997,7.33
6/9/1997,7.37
6/10/1997,7.39
6/11/1997,7.38
6/12/1997,7.3
6/13/1997,7.26
6/16/1997,7.23
6/17/1997,7.25
6/18/1997,7.23
