Date,Value
12/31/1996,13.97
1/2/1997,13.95
1/3/1997,14.02
1/6/1997,14.03
1/7/1997,14.05
1/8/1997,14.06
1/9/1997,14.1
1/10/1997,14.11
1/13/1997,14.15
1/14/1997,14.03
1/15/1997,13.96
1/16/1997,13.92
1/17/1997,13.93
1/20/1997,13.87
1/21/1997,13.87
1/22/1997,13.83
1/23/1997,13.88
1/24/1997,13.84
1/27/1997,13.8
1/28/1997,13.69
1/29/1997,13.83
1/30/1997,13.86
1/31/1997,13.94
2/3/1997,13.86
2/4/1997,13.81
2/5/1997,13.79
2/6/1997,13.77
2/7/1997,13.71
2/10/1997,13.64
2/11/1997,13.63
2/12/1997,13.59
2/13/1997,13.58
2/14/1997,13.53
2/18/1997,13.48
2/19/1997,13.45
2/20/1997,13.39
2/21/1997,13.41
2/24/1997,13.37
2/25/1997,13.23
2/26/1997,13.22
2/27/1997,13.21
2/28/1997,13.27
3/3/1997,13.32
3/4/1997,13.12
3/5/1997,13.3
3/6/1997,13.29
3/7/1997,13.3
3/10/1997,13.33
3/11/1997,13.33
3/12/1997,13.3
3/13/1997,13.33
3/14/1997,13.37
3/17/1997,13.31
3/18/1997,13.34
3/19/1997,13.27
3/20/1997,13.28
3/21/1997,13.29
3/24/1997,13.3
3/25/1997,13.32
3/26/1997,13.38
3/27/1997,13.44
3/31/1997,13.69
4/1/1997,13.73
4/2/1997,13.78
4/3/1997,13.81
4/4/1997,13.78
4/7/1997,13.76
4/8/1997,13.77
4/9/1997,13.79
4/10/1997,13.84
4/11/1997,13.94
4/14/1997,13.9
4/15/1997,13.72
4/16/1997,13.66
4/17/1997,13.69
4/18/1997,13.64
4/21/1997,13.58
4/22/1997,13.54
4/23/1997,13.53
4/24/1997,13.52
4/25/1997,13.52
4/28/1997,13.64
4/29/1997,13.58
4/30/1997,13.78
5/1/1997,13.76
5/2/1997,13.73
5/5/1997,13.71
5/6/1997,13.71
5/7/1997,13.7
5/8/1997,13.65
5/9/1997,13.58
5/12/1997,13.55
5/13/1997,13.56
5/14/1997,13.5
5/15/1997,13.44
5/16/1997,13.43
5/19/1997,13.44
5/20/1997,13.42
5/21/1997,13.41
5/22/1997,13.37
5/23/1997,13.37
5/27/1997,13.39
5/28/1997,13.46
5/29/1997,13.36
5/30/1997,13.31
5/31/1997,13.34
6/2/1997,13.31
6/3/1997,13.28
6/4/1997,13.2
6/5/1997,13.17
6/6/1997,13.06
6/9/1997,12.95
6/10/1997,12.92
6/11/1997,12.9
6/12/1997,12.93
6/13/1997,12.93
6/16/1997,12.83
6/17/1997,12.84
6/18/1997,12.87
6/19/1997,12.89
6/20/1997,12.92
6/23/1997,12.96
6/24/1997,12.96
6/25/1997,12.96
6/26/1997,13.1
6/27/1997,13.06
6/30/1997,13.29
7/1/1997,13.26
7/2/1997,13.27
7/3/1997,13.28
7/7/1997,13.25
7/8/1997,13.21
7/9/1997,13.13
7/10/1997,13.12
7/11/1997,13.11
7/14/1997,13.1
7/15/1997,13.07
7/16/1997,13.04
7/17/1997,13.01
7/18/1997,13.03
7/21/1997,13.11
7/22/1997,13.09
7/23/1997,13.06
7/24/1997,13.05
7/25/1997,13.07
7/28/1997,13.06
7/29/1997,13.12
7/30/1997,13.1
7/31/1997,12.7
8/1/1997,12.7
8/4/1997,12.73
8/5/1997,12.73
8/6/1997,12.66
8/7/1997,12.62
8/8/1997,12.73
8/11/1997,12.73
8/12/1997,12.72
8/13/1997,12.71
8/14/1997,12.62
8/15/1997,12.59
8/18/1997,12.62
8/19/1997,12.63
8/20/1997,12.61
8/21/1997,12.6
8/22/1997,12.71
8/25/1997,12.69
8/26/1997,12.7
8/27/1997,12.69
8/28/1997,12.57
8/29/1997,12.59
8/31/1997,12.6
9/2/1997,12.51
9/3/1997,12.56
9/4/1997,12.52
9/5/1997,12.51
9/8/1997,12.46
9/9/1997,12.43
9/10/1997,12.36
9/11/1997,12.36
9/12/1997,12.33
9/15/1997,12.29
9/16/1997,12.08
9/17/1997,12.02
9/18/1997,11.94
9/19/1997,11.92
9/22/1997,11.93
9/23/1997,11.91
9/24/1997,11.87
9/25/1997,11.87
9/26/1997,11.87
9/29/1997,11.84
9/30/1997,12.01
10/1/1997,11.94
10/2/1997,11.91
10/3/1997,11.87
10/6/1997,11.8
10/7/1997,11.76
10/8/1997,11.71
10/9/1997,11.74
10/10/1997,11.75
10/13/1997,11.75
10/14/1997,11.73
10/15/1997,11.66
10/16/1997,11.59
10/17/1997,11.61
10/20/1997,11.64
10/21/1997,11.68
10/22/1997,11.66
10/23/1997,11.68
10/24/1997,11.66
10/27/1997,11.98
10/28/1997,12.19
10/29/1997,12.1
10/30/1997,12.11
10/31/1997,13.07
11/3/1997,13.06
11/4/1997,12.68
11/5/1997,12.58
11/6/1997,12.55
11/7/1997,12.62
11/10/1997,12.55
11/11/1997,12.53
11/12/1997,12.57
11/13/1997,12.63
11/14/1997,12.68
11/17/1997,12.64
11/18/1997,12.62
11/19/1997,12.64
11/20/1997,12.63
11/21/1997,12.62
11/24/1997,12.66
11/25/1997,12.66
11/26/1997,12.63
11/27/1997,12.63
11/28/1997,12.67
11/30/1997,13.14
12/1/1997,13.13
12/2/1997,13.06
12/3/1997,13
12/4/1997,12.96
12/5/1997,13.02
12/8/1997,12.99
12/9/1997,13.02
12/10/1997,13.06
12/11/1997,13.05
12/12/1997,13.09
12/15/1997,13.01
12/16/1997,13.06
12/17/1997,13.08
12/18/1997,13.1
12/19/1997,13.15
12/22/1997,13.22
12/23/1997,13.25
12/24/1997,13.26
12/26/1997,13.27
12/29/1997,13.28
12/30/1997,13.31
12/31/1997,13.07
1/2/1998,13.06
1/5/1998,13.05
1/6/1998,13.01
1/7/1998,12.98
1/8/1998,12.91
1/9/1998,12.88
1/12/1998,12.87
1/13/1998,12.8
1/14/1998,12.73
1/15/1998,12.68
1/16/1998,12.61
1/19/1998,12.62
1/20/1998,12.51
1/21/1998,12.42
1/22/1998,12.41
1/23/1998,12.4
1/26/1998,12.4
1/27/1998,12.45
1/28/1998,12.41
1/29/1998,12.38
1/30/1998,12.52
1/31/1998,12.55
2/2/1998,12.5
2/3/1998,12.61
2/4/1998,12.61
2/5/1998,12.64
2/6/1998,12.62
2/9/1998,12.63
2/10/1998,12.64
2/11/1998,12.62
2/12/1998,12.6
2/13/1998,12.56
2/16/1998,12.51
2/17/1998,12.52
2/18/1998,12.47
2/19/1998,12.5
2/20/1998,12.48
2/23/1998,12.46
2/24/1998,12.5
2/25/1998,12.52
2/26/1998,12.5
2/27/1998,12.49
2/28/1998,12.43
3/2/1998,12.45
3/3/1998,12.49
3/4/1998,12.53
3/5/1998,12.58
3/6/1998,12.67
3/9/1998,12.68
3/10/1998,12.71
3/11/1998,12.63
3/12/1998,12.56
3/13/1998,12.55
3/16/1998,12.46
3/17/1998,12.43
3/18/1998,12.35
3/19/1998,12.32
3/20/1998,12.29
3/23/1998,12.25
3/24/1998,12.22
3/25/1998,12.17
3/26/1998,12.15
